"%Acm. Venda","Código Produto","Produto : Empresa","Código Empresa","Embalagem Unitária","Itens (SKU)","Quantidade em Estoque","Quantidade Reservada","Quantidade Disponível","Valor Preço de Venda","%Partic. Pr.Vda","Preço Vda Unitário","Valor Custo Líquido","%Partic. Cto Liq.","Custo Liq. Unitário","Cto. Liq Unitário (Líquido de ICMS)","Cto. Liq Unitário (Líquido de ICMS) Total","Lucrat. Marg %","Lucratividade Unit.","Lucratividade Valor","%Partic. Lucrat.","% Mark Up","% Mark Down","Valor Custo Bruto","% Partic. Cto Bruto","Cto Bruto Unitário","Contribuição Valor","% Partic. Contrib.","Contrib. Marg %","Qtd. Pend. Ped.Compra","Qtd. Pend. Ped.Exped.","Média Vda/Dia","Dias de Estoque","Dias Ult. Entrada","Dias Ult. Entrada c/ Alt. Custo","Peso Bruto","%Partic. Peso Brt","Peso Líquido","Despesa Venda","Compror","Descontos Diversos","Descontos Transf. PIS","Descontos Transf. COFINS","Descontos Transf. IPI","Descontos Transf. Lucro","Descontos Transf. Verba","Descontos Transf. Diferença","Descontos Transferências","Descontos Totais","Comissão s/ Venda","Tot.Impostos s/ Venda","ICMS s/ Venda","PIS s/ Venda","COFINS s/ Venda","Outros Impostos","Código Acesso","Estq Emp","Custo Fiscal Unit.","Custo Fiscal Total","Despesa Fixa Unit.","Desconto Fixo Unit.","Despesa Fixa","Desconto Fixo","Descontos Transf. Rest.ICMS/ST","Quantidade Estoque Mínimo","Quantidade  Estoque Máximo","Quantidade  Dias Sem Vendas"
"0,00","113472","*BERCO CHIVAS REGAL 1L GANHE COPO THE ROCKS : 501-MM SP","501","UN 1","1","1.632,000","0,000","1.632,000","0,00","0,00","0,00","5.161,96","0,01","3,1630","2,5500","4.163,18","","-3,16","-5.161,96","0,47","-100,00","","5.161,96","0,01","3,1630","-5.161,96","-0,09","","0,000","0,000","0,000","0,00","1.014,0","1.015,0","16,320","0,00","16,320","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","1.632,000","2,55","4.163,17","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2050"
"0,00","113471","*CARTUCHO CHIVAS REGAL 1LGANHE COPO THE ROCKS : 501-MM SP","501","UN 1","1","1.632,000","0,000","1.632,000","0,00","0,00","0,00","5.161,96","0,01","3,1630","2,5500","4.163,18","","-3,16","-5.161,96","0,47","-100,00","","5.161,96","0,01","3,1630","-5.161,96","-0,09","","0,000","0,000","0,000","0,00","1.014,0","1.015,0","16,320","0,00","16,320","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","1.632,000","2,55","4.163,17","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2050"
"0,00","113470","*COPOS WHISKEY CHIVAS CAPRI 340ML MOD2 : 501-MM SP","501","UN 1","1","600,000","0,000","600,000","0,00","0,00","0,00","4.006,92","0,01","6,6782","6,1900","3.715,64","","-6,68","-4.006,92","0,36","-100,00","","4.006,92","0,01","6,6782","-4.006,92","-0,07","","0,000","0,000","0,000","0,00","1.014,0","1.015,0","133,200","0,00","133,200","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","600,000","6,19","3.715,64","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","2050"
"0,00","115967","*DISPLAY ESMALTE RISQUE  : 501-MM SP","501","UN 1","1","284,000","0,000","284,000","284,00","0,00","1,00","12.022,43","0,03","42,3325","34,1800","9.706,94","-4147,25","-41,47","-11.778,19","1,06","-97,64","-4.133,25","12.022,43","0,03","42,3325","-11.741,27","-0,21","-4134,25","0,000","0,000","0,000","0,00","197,0","451,0","227,200","0,01","227,200","36,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,84","0,00","51,12","4,69","21,58","0,00","7893596204005","284,000","34,18","9.706,94","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","142"
"0,00","114847","*KIT 10 MASCARAS NINJA 1 ADULTO : 501-MM SP","501","UN 1","1","240,000","0,000","240,000","0,00","0,00","0,00","10.838,40","0,03","45,1600","32,8500","7.884,94","","-45,16","-10.838,40","0,98","-100,00","","10.838,40","0,03","45,1600","-10.838,40","-0,19","","0,000","0,000","0,000","0,00","633,0","633,0","48,000","0,00","24,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7909661362904","240,000","32,85","7.884,94","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","1667"
"0,86","18557","*PALLET CHEP : 501-MM SP","501","PC 1","1","17.491,000","0,000","17.491,000","408.414,85","0,86","23,35","338.488,63","0,83","19,3522","19,3500","338.488,63","1,12","0,26","4.579,84","-0,41","20,66","17,12","338.488,63","0,83","19,3522","61.757,92","1,09","15,12","0,000","0,000","0,000","0,00","1,0","491,0","437.275,000","13,26","437.275,000","57.178,08","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8.168,30","0,00","0,00","0,00","0,00","0,00","","17.491,000","45,08","788.531,61","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","5475"
"1,13","18560","*PALLET DE MADEIRA PADRAO  : 501-MM SP","501","PC 1","1","6.536,000","0,000","6.536,000","130.720,00","0,27","20,00","65.360,00","0,16","10,0000","10,0000","65.360,00","29,00","5,80","37.908,80","-3,43","100,00","50,00","65.360,00","0,16","10,0000","62.745,60","1,11","48,00","0,000","0,000","0,000","0,00","1,0","491,0","163.400,000","4,96","163.400,000","24.836,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2.614,40","0,00","0,00","0,00","0,00","0,00","","6.536,000","10,00","65.360,00","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","5475"
"1,13","81148","*PALLET DIAGEO  : 501-MM SP","501","UN 1","1","234,000","0,000","234,000","0,00","0,00","0,00","16.146,00","0,04","69,0000","69,0000","16.146,00","","-69,00","-16.146,00","1,46","-100,00","","16.146,00","0,04","69,0000","-16.146,00","-0,29","","0,000","0,000","0,000","0,00","43,0","1.863,0","5.850,000","0,18","5.850,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","234,000","69,00","16.146,00","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","3482"
"1,13","94756","*PALLET KIMBERLY  : 501-MM SP","501","UN 1","1","4.786,000","0,000","4.786,000","0,00","0,00","0,00","95.720,00","0,23","20,0000","20,0000","95.720,00","","-20,00","-95.720,00","8,65","-100,00","","95.720,00","0,23","20,0000","-95.720,00","-1,69","","0,000","0,000","0,000","0,00","104,0","657,0","119.650,000","3,63","119.650,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","4.786,000","18,85","90.234,66","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","3038"
"1,13","31155","*PALLET PERNOD  : 501-MM SP","501","UN 1","1","3.033,000","0,000","3.033,000","0,00","0,00","0,00","90.990,00","0,22","30,0000","30,0000","90.990,00","","-30,00","-90.990,00","8,22","-100,00","","90.990,00","0,22","30,0000","-90.990,00","-1,61","","0,000","0,000","0,000","0,00","79,0","556,0","75.825,000","2,30","75.825,000","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","3.033,000","30,00","90.990,00","0,0000","0,0000","0,00","0,00","0,00","0,000","0,000","5029"
